SPA Эко,5000,4000,3000
10+35,Массаж с проработкой «Спорт-oil»+SPA - уход «Целебные травы»,240,1,12800
43+45,Программы для похудения «Слим»+Программы для похудения «Талассотерапия»,180,1,12800
1+46+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Восстанавливающий»,240,1,14400
25+33,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Королевская спа программа»,180,1,12800
44+16,Программы для похудения «Слим и тай ойл»+Relax массаж Тай Оил + травяные мешочки,210,1,12400
19+2+5+6,"Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
SPA Премиум вая,20000,16000,12000
32+19+1+4,SPA - уход «Принцесса сиама»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,14000
46+16,Программы для похудения «Имбирный коктейль»+Relax массаж Тай Оил + травяные мешочки,240,1,14800
12+43+2,Relax массаж «Тай Оил»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
25+43+1,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,14400
20+46+2,Программы для лица и головы «Лицо и голова»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
22+30,Программы для рук и ног «Руки»+Массаж в 4 руки «Тай Ойл в 4 руки»,150,1,14000
43+34+1,Программы для похудения «Слим»+SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
33+18+2,SPA - уход «Королевская спа программа»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
36+20,SPA - уход «Обновление и тонус»+Программы для лица и головы «Лицо и голова»,240,1,12800
8+5+2,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
SPA Премиум вая,20000,16000,12000
28+23+2,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,13600
10+43+3,Массаж с проработкой «Спорт-oil»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
45+9,Программы для похудения «Талассотерапия»+Массаж с проработкой «Тай + травяные мешочки»,210,1,12800
25+31+1,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,13200
12+10+3,Relax массаж «Тай Оил»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
46+34,Программы для похудения «Имбирный коктейль»+SPA - уход «Мужской комплимент»,240,1,14400
25+35,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Целебные травы»,240,1,15200
17+43+1,Relax массаж Стоун+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
33+22+2,SPA - уход «Королевская спа программа»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
18+12+2+4,Программы для лица и головы «Лицо»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
18+44+2,Программы для лица и головы «Лицо»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
32+44+1,SPA - уход «Принцесса сиама»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
28+20+2,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,13600
25+44,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Слим и тай ойл»,150,1,12000
20+25+3,Программы для лица и головы «Лицо и голова»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,14000
SPA Премиум вая,20000,16000,12000
32+14,SPA - уход «Принцесса сиама»+Relax массаж «Тай Оил»,210,1,12000
4+46+1,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
1+43+5+6,"Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Слим»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,14400
18+11+3,Программы для лица и головы «Лицо»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
33+16,SPA - уход «Королевская спа программа»+Relax массаж Тай Оил + травяные мешочки,240,1,13200
43+8+3,Программы для похудения «Слим»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14000
18+30,Программы для лица и головы «Лицо»+Массаж в 4 руки «Тай Ойл в 4 руки»,150,1,14000
32+17+1,SPA - уход «Принцесса сиама»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
22+46+1,Программы для рук и ног «Руки»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,13200
10+33+1,Массаж с проработкой «Спорт-oil»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
43+32+1,Программы для похудения «Слим»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,13600
8+20+1+4,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,12000
22+36,Программы для рук и ног «Руки»+SPA - уход «Обновление и тонус»,240,1,12800
SPA Премиум вая,20000,16000,12000
12+25+3,Relax массаж «Тай Оил»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,15600
43+25+1,Программы для похудения «Слим»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,14400
45+5,Программы для похудения «Талассотерапия»+Массаж с проработкой «Восстанавливающий»,210,1,12400
23+29+2,Программы для рук и ног «Ноги»+Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,16000
44+22+3,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
23+43+3,Программы для рук и ног «Ноги»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
19+43+2+4,Программы для лица и головы «Голова»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,14400
19+14+2,Программы для лица и головы «Голова»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
12+23+2+4,Relax массаж «Тай Оил»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
31+44+1,SPA - уход «Бархатное прикосновение»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
33+32,SPA - уход «Королевская спа программа»+SPA - уход «Принцесса сиама»,210,1,12000
43+18+1+4,Программы для похудения «Слим»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,13200
32+23+2,SPA - уход «Принцесса сиама»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
SPA Премиум вая,20000,16000,12000
46+25,Программы для похудения «Имбирный коктейль»+Массаж в 4 руки «Тай в 4 руки»,180,1,14400
25+10+2,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,14800
32+4+2,SPA - уход «Принцесса сиама»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
25+7+2,"Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,14000
32+18+2,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
1+18+5+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
4+17+1+6,"Массаж с проработкой «Восстанавливающий»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13200
1+33+4,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Восстанавливающий»,240,1,12800
8+32+2,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
28+15,Массаж в 4 руки «Тай Ойл в 4 руки»+Relax массаж Тай Оил + травяные мешочки,150,1,12400
SPA Премиум вая,20000,16000,12000
1+31+4+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13200
44+21+1,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
23+36,Программы для рук и ног «Ноги»+SPA - уход «Обновление и тонус»,240,1,12800
28+43,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для похудения «Слим»,120,1,12000
28+32,Массаж в 4 руки «Тай Ойл в 4 руки»+SPA - уход «Принцесса сиама»,150,1,12800
10+23+1+4+6,"Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,14400
34+33,SPA - уход «Мужской комплимент»+SPA - уход «Королевская спа программа»,240,1,12800
6+11+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,12400
1+8+4+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13200
46+18+2,Программы для похудения «Имбирный коктейль»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
33+43+1,SPA - уход «Королевская спа программа»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
46+44,Программы для похудения «Имбирный коктейль»+Программы для похудения «Слим и тай ойл»,210,1,13600
46+43,Программы для похудения «Имбирный коктейль»+Программы для похудения «Слим»,180,1,12800
6+45+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»",240,1,14400
SPA Премиум вая,20000,16000,12000
22+43+1+5,Программы для рук и ног «Руки»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,14400
1+44+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Восстанавливающий»,240,1,13200
43+33+1,Программы для похудения «Слим»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
8+35,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Целебные травы»,240,1,12400
28+34,Массаж в 4 руки «Тай Ойл в 4 руки»+SPA - уход «Мужской комплимент»,180,1,13600
4+10+3,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
46+17,Программы для похудения «Имбирный коктейль»+Relax массаж Стоун,210,1,12800
31+27,SPA - уход «Бархатное прикосновение»+Массаж в 4 руки «Тай в 4 руки»,180,1,14800
32+21+1,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
34+20+2,SPA - уход «Мужской комплимент»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
15+1+5,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
43+2+5,Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13600
31+12+3,SPA - уход «Бархатное прикосновение»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
44+33,Программы для похудения «Слим и тай ойл»+SPA - уход «Королевская спа программа»,210,1,12000
46+5,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Восстанавливающий»,210,1,12400
SPA Премиум вая,20000,16000,12000
32+34,SPA - уход «Принцесса сиама»+SPA - уход «Мужской комплимент»,210,1,12000
35+31,SPA - уход «Целебные травы»+SPA - уход «Бархатное прикосновение»,240,1,12400
32+9+1,SPA - уход «Принцесса сиама»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
1+32+4,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Восстанавливающий»,210,1,12000
34+45,SPA - уход «Мужской комплимент»+Программы для похудения «Талассотерапия»,240,1,14400
4+43+2,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
43+19+1+4+6,"Программы для похудения «Слим»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,15200
36+19,SPA - уход «Обновление и тонус»+Программы для лица и головы «Голова»,240,1,12800
18+20+1+5+6,"Программы для лица и головы «Лицо»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13600
19+22+1+5+6,"Программы для лица и головы «Голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13600
44+34,Программы для похудения «Слим и тай ойл»+SPA - уход «Мужской комплимент»,210,1,12000
44+23+2,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
4+8+2+6,"Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13200
4+34+1,Массаж с проработкой «Восстанавливающий»+SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
SPA Премиум вая,20000,16000,12000
25+17+1,Массаж в 4 руки «Тай в 4 руки»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,14400
15+31+2,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
12+1+4+6,"Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12000
18+25+1+4,Программы для лица и головы «Лицо»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,14800
25+46,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Имбирный коктейль»,180,1,14400
19+4+3+6,"Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
25+32,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Принцесса сиама»,150,1,12000
25+22+3,Массаж в 4 руки «Тай в 4 руки»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,14000
12+33+1,Relax массаж «Тай Оил»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
33+45,SPA - уход «Королевская спа программа»+Программы для похудения «Талассотерапия»,240,1,14400
43+5+2,Программы для похудения «Слим»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
20+34+2,Программы для лица и головы «Лицо и голова»+SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
SPA Премиум вая,20000,16000,12000
4+44+2,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
10+45,Массаж с проработкой «Спорт-oil»+Программы для похудения «Талассотерапия»,180,1,12000
44+10+2,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14000
4+31+3,Массаж с проработкой «Восстанавливающий»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
10+21+3,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
8+34+1,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
17+27,Relax массаж Стоун+Массаж в 4 руки «Тай в 4 руки»,210,1,16000
1+7+4+8,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Тай + травяные мешочки»",240,1,13200
22+25+1+5,Программы для рук и ног «Руки»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,16000
31+35,SPA - уход «Бархатное прикосновение»+SPA - уход «Целебные травы»,240,1,12400
28+26,Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж в 4 руки «Тай в 4 руки»,150,1,16000
43+46,Программы для похудения «Слим»+Программы для похудения «Имбирный коктейль»,180,1,12800
32+2+4,SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
20+16+1,Программы для лица и головы «Лицо и голова»+Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
10+22+1+4,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,12400
SPA Премиум вая,20000,16000,12000
28+35,Массаж в 4 руки «Тай Ойл в 4 руки»+SPA - уход «Целебные травы»,240,1,16000
45+17,Программы для похудения «Талассотерапия»+Relax массаж Стоун,210,1,12800
45+43,Программы для похудения «Талассотерапия»+Программы для похудения «Слим»,180,1,12800
20+22+2+4+6,"Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13600
45+18+1,Программы для похудения «Талассотерапия»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,13200
25+21+2,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,14400
18+15+3,Программы для лица и головы «Лицо»+Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
35+24,SPA - уход «Целебные травы»+Программы для рук и ног «Ноги»,240,1,12000
46+20+2,Программы для похудения «Имбирный коктейль»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
23+45+2,Программы для рук и ног «Ноги»+Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
15+28,Relax массаж Тай Оил + травяные мешочки+Массаж в 4 руки «Тай Ойл в 4 руки»,150,1,12400
43+31+2,Программы для похудения «Слим»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
19+44+3,Программы для лица и головы «Голова»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
1+29+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Восстанавливающий»,210,1,16000
22+32+3,Программы для рук и ног «Руки»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
SPA Премиум вая,20000,16000,12000
18+19+1+4+7,"Программы для лица и головы «Лицо»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,13600
44+4+1,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
25+9+1,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,14400
1+27,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж в 4 руки «Тай в 4 руки»,180,1,14400
19+11+2,Программы для лица и головы «Голова»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
31+7+1+4,"SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",240,1,13200
46+45,Программы для похудения «Имбирный коктейль»+Программы для похудения «Талассотерапия»,240,1,16000
12+4+1+6,"Relax массаж «Тай Оил»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12000
25+5+1,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,14000
31+43+3,SPA - уход «Бархатное прикосновение»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14000
6+44+3,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»",240,1,13200
43+24+3,Программы для похудения «Слим»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
8+10+3,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
46+19+2,Программы для похудения «Имбирный коктейль»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
15+19+3,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
SPA Премиум вая,20000,16000,12000
1+43+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Слим»+Массаж с проработкой «Восстанавливающий»,210,1,12400
46+1+4,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,14400
22+31+1+5,Программы для рук и ног «Руки»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
44+26,Программы для похудения «Слим и тай ойл»+Массаж в 4 руки «Тай в 4 руки»,180,1,14400
33+14,SPA - уход «Королевская спа программа»+Relax массаж «Тай Оил»,240,1,12800
25+3,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,12000
22+3+5,Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12000
20+19+3+4,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
8+44+2,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13600
20+31+1+5,Программы для лица и головы «Лицо и голова»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,13200
44+19+2,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
45+33,Программы для похудения «Талассотерапия»+SPA - уход «Королевская спа программа»,240,1,14400
28+14,Массаж в 4 руки «Тай Ойл в 4 руки»+Relax массаж «Тай Оил»,180,1,13600
45+46,Программы для похудения «Талассотерапия»+Программы для похудения «Имбирный коктейль»,240,1,16000
6+19+2+5,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",240,1,12800
SPA Премиум вая,20000,16000,12000
20+32+3,Программы для лица и головы «Лицо и голова»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
4+35,Массаж с проработкой «Восстанавливающий»+SPA - уход «Целебные травы»,240,1,12000
23+32+3,Программы для рук и ног «Ноги»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,13200
28+6+2,"Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,13600
6+5+1+8,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Тай + травяные мешочки»",240,1,13200
44+7+2,"Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",240,1,13200
33+29,SPA - уход «Королевская спа программа»+Массаж в 4 руки «Тай Ойл в 4 руки»,210,1,16000
20+36,Программы для лица и головы «Лицо и голова»+SPA - уход «Обновление и тонус»,240,1,12800
1+35,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Целебные травы»,240,1,12000
